PCON24CD,Theme,Title,Value,rank,count
E14001240,economy,Gigabit availability,64.6,241.0,650
E14001240,economy,House prices,299950.0,161.0,575
E14001240,economy,Receiving over 30 Mbps,70.9,178.0,650
E14001240,economy,Receiving under 10 Mbps,9.4,14.0,650
E14001240,economy,Superfast availability,90.7,83.0,650
E14001240,economy,Total income: median,26900.0,113.0,650
E14001240,economy,Total tax amount,242.0,257.0,650
E14001240,energy,Households off the gas grid,39.8,42.0,632
E14001240,environment,Ancient woodland,18.7889,1.0,543
E14001240,environment,Countryside and Rights of Way,0.049,248.0,543
E14001240,environment,Green belt: percentage,,,342
E14001240,environment,Green belt: total,,,342
E14001240,society,Child poverty,31.7,119.0,650
E14001240,society,EU referendum using 2024 consituencies,0.5798993613,205.0,632
E14001240,society,Electorate,71510.0,447.0,649
E14001240,society,Fish and chip shops,5.0,40.0,650
E14001240,society,Foodbanks,2.0,6.0,650
E14001240,society,General Election (notional): 12 December 2019,,,0
E14001240,society,General Election: 4 July 2024,,,0
E14001240,society,Heritage at Risk: all,16.0,35.0,543
E14001240,society,Heritage at Risk: archaeology,8.0,28.0,543
E14001240,society,Heritage at Risk: building or structure,4.0,13.0,543
E14001240,society,Heritage at Risk: conservation area,0.0,10.0,543
E14001240,society,Heritage at Risk: place of worship,4.0,13.0,543
E14001240,society,MPs: Left vs Right,33.335,560.0,614
E14001240,society,Percentage of children affected by two-child limit,9.0,17.0,650
E14001240,society,Population,92621.0,596.0,650
E14001240,society,Population: by age,790.0,391.0,650
E14001240,society,Population: by group,52077.0,584.0,650
E14001240,society,Post offices,20.0,29.0,650
E14001240,society,Pubs,121.0,102.0,650
E14001240,transport,Bus stops,1722.0,3.0,632
E14001240,transport,Bus stops per square km,2.95,366.0,632
E14001240,transport,Cars or vans by household,92.4,25.0,575
E14001240,transport,EV: combined charging availability,787.0,194.0,650
E14001240,transport,EV: home charging,629.0,163.0,650
E14001240,transport,EV: workplace charging points,78.0,130.0,650
E14001240,transport,Rail cancellations,1.7,63.0,632
E14001240,transport,Train stations,1.0,18.0,588
E14001240,transport,Train stations per square km,0.002,192.0,588
E14001240,transport,Tram and metro stops per square km,0.01,56.0,175
N05000008,economy,ATMs: total,122.0,40.0,649
N05000008,economy,Average download speeds,198.1,60.0,650
N05000008,economy,Below universal service obligation,0.0,26.0,650
N05000008,economy,Gigabit availability,94.9,27.0,650
N05000008,economy,Receiving over 30 Mbps,93.1,3.0,650
N05000008,economy,Receiving under 10 Mbps,1.8,75.0,650
N05000008,economy,Superfast availability,98.8,12.0,650
N05000008,economy,Total income: median,25500.0,127.0,650
N05000008,economy,Total tax amount,164.0,333.0,650
N05000008,society,Child poverty,25.3,180.0,650
N05000008,society,Electorate,69890.0,601.0,649
N05000008,society,Fish and chip shops,0.0,45.0,650
N05000008,society,Foodbanks,1.0,7.0,650
N05000008,society,General Election (notional): 12 December 2019,,,0
N05000008,society,General Election: 4 July 2024,,,0
N05000008,society,Percentage of children affected by two-child limit,11.0,15.0,650
N05000008,society,Population,97404.0,459.0,650
N05000008,society,Population: by age,1183.0,167.0,650
N05000008,society,Population: by group,59148.0,370.0,650
N05000008,society,Post offices,4.0,45.0,650
N05000008,society,Pubs,52.0,171.0,650
N05000008,transport,EV: combined charging availability,54.0,503.0,650
N05000008,transport,EV: home charging,21.0,474.0,650
N05000008,transport,EV: workplace charging points,5.0,201.0,650
E14001241,economy,ATMs: total,42.0,119.0,649
E14001241,economy,Average download speeds,119.9,373.0,650
E14001241,economy,Below universal service obligation,0.4,22.0,650
E14001241,economy,Gigabit availability,73.1,196.0,650
E14001241,economy,House prices,326500.0,135.0,575
E14001241,economy,Receiving over 30 Mbps,77.3,151.0,650
E14001241,economy,Receiving under 10 Mbps,6.1,32.0,650
E14001241,economy,Superfast availability,90.7,83.0,650
E14001241,economy,Total income: median,26900.0,113.0,650
E14001241,economy,Total tax amount,316.0,194.0,650
E14001241,energy,Households off the gas grid,23.0,116.0,632
E14001241,environment,Ancient woodland,3.8994,83.0,543
E14001241,environment,Countryside and Rights of Way,0.0032,320.0,543
E14001241,environment,Green belt: percentage,16.9,178.0,342
E14001241,environment,Green belt: total,8050.0,65.0,342
E14001241,society,Child poverty,23.4,198.0,650
E14001241,society,EU referendum using 2024 consituencies,0.5261479995,335.0,632
E14001241,society,Electorate,70177.0,567.0,649
E14001241,society,Fish and chip shops,14.0,31.0,650
E14001241,society,Foodbanks,2.0,6.0,650
E14001241,society,General Election (notional): 12 December 2019,,,0
E14001241,society,General Election: 4 July 2024,,,0
E14001241,society,Heritage at Risk: all,23.0,28.0,543
E14001241,society,Heritage at Risk: archaeology,10.0,26.0,543
E14001241,society,Heritage at Risk: building or structure,4.0,13.0,543
E14001241,society,Heritage at Risk: conservation area,1.0,9.0,543
E14001241,society,Heritage at Risk: place of worship,8.0,9.0,543
E14001241,society,MPs: Left vs Right,38.181,442.0,614
E14001241,society,Percentage of children affected by two-child limit,8.0,18.0,650
E14001241,society,Population,92800.0,588.0,650
E14001241,society,Population: by age,939.0,301.0,650
E14001241,society,Population: by group,52808.0,569.0,650
E14001241,society,Post offices,15.0,34.0,650
E14001241,society,Pubs,141.0,82.0,650
E14001241,transport,Bus stops,714.0,123.0,632
E14001241,transport,Bus stops per square km,1.5,435.0,632
E14001241,transport,Cars or vans by household,92.2,27.0,575
E14001241,transport,EV: combined charging availability,806.0,189.0,650
E14001241,transport,EV: home charging,665.0,151.0,650
E14001241,transport,EV: workplace charging points,83.0,125.0,650
E14001241,transport,Rail cancellations,3.9,41.0,632
E14001241,transport,Train stations,2.0,17.0,588
E14001241,transport,Train stations per square km,0.004,190.0,588
E14001241,transport,Tram and metro stops per square km,,,175
E14001242,economy,ATMs: total,66.0,95.0,649
E14001242,economy,Average download speeds,139.7,314.0,650
E14001242,economy,Below universal service obligation,0.0,26.0,650
E14001242,economy,Gigabit availability,85.5,111.0,650
E14001242,economy,House prices,235000.0,213.0,575
E14001242,economy,Receiving over 30 Mbps,85.6,76.0,650
E14001242,economy,Receiving under 10 Mbps,3.0,63.0,650
E14001242,economy,Superfast availability,97.8,22.0,650
E14001242,economy,Total income: median,29100.0,91.0,650
E14001242,economy,Total tax amount,346.0,171.0,650
E14001242,energy,Households off the gas grid,9.9,216.0,632
E14001242,environment,Ancient woodland,0.0,452.0,543
E14001242,environment,Countryside and Rights of Way,0.0,344.0,543
E14001242,environment,Green belt: percentage,11.1,201.0,342
E14001242,environment,Green belt: total,1930.0,166.0,342
E14001242,society,Child poverty,27.5,159.0,650
E14001242,society,EU referendum using 2024 consituencies,0.5644144544,248.0,632
E14001242,society,Electorate,75114.0,189.0,649
E14001242,society,Fish and chip shops,16.0,29.0,650
E14001242,society,Foodbanks,2.0,6.0,650
E14001242,society,General Election (notional): 12 December 2019,,,0
E14001242,society,General Election: 4 July 2024,,,0
E14001242,society,Heritage at Risk: all,0.0,51.0,543
E14001242,society,Heritage at Risk: archaeology,0.0,36.0,543
E14001242,society,Heritage at Risk: building or structure,0.0,17.0,543
E14001242,society,Heritage at Risk: conservation area,0.0,10.0,543
E14001242,society,Heritage at Risk: place of worship,0.0,17.0,543
E14001242,society,MPs: Left vs Right,63.946,104.0,614
E14001242,society,Percentage of children affected by two-child limit,7.0,19.0,650
E14001242,society,Population,98407.0,423.0,650
E14001242,society,Population: by age,733.0,422.0,650
E14001242,society,Population: by group,53811.0,544.0,650
E14001242,society,Post offices,14.0,35.0,650
E14001242,society,Pubs,100.0,123.0,650
E14001242,transport,Bus stops,574.0,219.0,632
E14001242,transport,Bus stops per square km,3.29,346.0,632
E14001242,transport,Cars or vans by household,88.9,59.0,575
E14001242,transport,EV: combined charging availability,668.0,256.0,650
E14001242,transport,EV: home charging,545.0,197.0,650
E14001242,transport,EV: workplace charging points,61.0,147.0,650
E14001242,transport,Rail cancellations,6.1,19.0,632
E14001242,transport,Train stations,8.0,11.0,588
E14001242,transport,Train stations per square km,0.046,148.0,588
E14001242,transport,Tram and metro stops per square km,,,175
E14001243,economy,ATMs: total,50.0,111.0,649
E14001243,economy,Average download speeds,102.7,424.0,650
E14001243,economy,Below universal service obligation,0.9,17.0,650
E14001243,economy,Gigabit availability,50.6,289.0,650
E14001243,economy,House prices,225000.0,218.0,575
E14001243,economy,Receiving over 30 Mbps,79.6,133.0,650
E14001243,economy,Receiving under 10 Mbps,5.5,38.0,650
E14001243,economy,Superfast availability,89.4,90.0,650
E14001243,economy,Total income: median,27500.0,107.0,650
E14001243,economy,Total tax amount,245.0,254.0,650
E14001243,energy,Households off the gas grid,23.1,115.0,632
E14001243,environment,Ancient woodland,1.2145,258.0,543
E14001243,environment,Countryside and Rights of Way,0.0,344.0,543
E14001243,environment,Green belt: percentage,,,342
E14001243,environment,Green belt: total,,,342
E14001243,society,Child poverty,35.2,89.0,650
E14001243,society,EU referendum using 2024 consituencies,0.618176173,114.0,632
E14001243,society,Electorate,74750.0,212.0,649
E14001243,society,Fish and chip shops,13.0,32.0,650
E14001243,society,Foodbanks,2.0,6.0,650
E14001243,society,General Election (notional): 12 December 2019,,,0
E14001243,society,General Election: 4 July 2024,,,0
E14001243,society,Heritage at Risk: all,25.0,26.0,543
E14001243,society,Heritage at Risk: archaeology,7.0,29.0,543
E14001243,society,Heritage at Risk: building or structure,7.0,10.0,543
E14001243,society,Heritage at Risk: conservation area,3.0,7.0,543
E14001243,society,Heritage at Risk: place of worship,8.0,9.0,543
E14001243,society,MPs: Left vs Right,74.362,11.0,614
E14001243,society,Percentage of children affected by two-child limit,11.0,15.0,650
E14001243,society,Population,96817.0,468.0,650
E14001243,society,Population: by age,755.0,410.0,650
E14001243,society,Population: by group,53923.0,540.0,650
E14001243,society,Post offices,21.0,28.0,650
E14001243,society,Pubs,85.0,138.0,650
E14001243,transport,Bus stops,999.0,38.0,632
E14001243,transport,Bus stops per square km,0.86,482.0,632
E14001243,transport,Cars or vans by household,90.0,48.0,575
E14001243,transport,EV: combined charging availability,750.0,208.0,650
E14001243,transport,EV: home charging,634.0,162.0,650
E14001243,transport,EV: workplace charging points,74.0,134.0,650
E14001243,transport,Rail cancellations,4.9,31.0,632
E14001243,transport,Train stations,4.0,15.0,588
E14001243,transport,Train stations per square km,0.003,191.0,588
E14001243,transport,Tram and metro stops per square km,,,175
E14001244,economy,ATMs: total,107.0,54.0,649
E14001244,economy,Average download speeds,162.9,219.0,650
E14001244,economy,Below universal service obligation,0.0,26.0,650
E14001244,economy,Gigabit availability,83.1,126.0,650
E14001244,economy,House prices,155000.0,281.0,575
E14001244,economy,Receiving over 30 Mbps,85.9,73.0,650
E14001244,economy,Receiving under 10 Mbps,3.4,59.0,650
E14001244,economy,Superfast availability,97.3,27.0,650
E14001244,economy,Total income: median,26000.0,122.0,650
E14001244,economy,Total tax amount,215.0,283.0,650
E14001244,energy,Households off the gas grid,8.3,231.0,632
E14001244,environment,Ancient woodland,4.8531,67.0,543
E14001244,environment,Countryside and Rights of Way,0.0,344.0,543
E14001244,environment,Green belt: percentage,37.9,125.0,342
E14001244,environment,Green belt: total,1570.0,175.0,342
E14001244,society,Child poverty,33.0,107.0,650
E14001244,society,EU referendum using 2024 consituencies,0.5456570502,291.0,632
E14001244,society,Electorate,70994.0,494.0,649
E14001244,society,Fish and chip shops,22.0,23.0,650
E14001244,society,Foodbanks,1.0,7.0,650
E14001244,society,General Election (notional): 12 December 2019,,,0
E14001244,society,General Election: 4 July 2024,,,0
E14001244,society,Heritage at Risk: all,6.0,45.0,543
E14001244,society,Heritage at Risk: archaeology,2.0,34.0,543
E14001244,society,Heritage at Risk: building or structure,2.0,15.0,543
E14001244,society,Heritage at Risk: conservation area,1.0,9.0,543
E14001244,society,Heritage at Risk: place of worship,1.0,16.0,543
E14001244,society,MPs: Left vs Right,50.227,137.0,614
E14001244,society,Percentage of children affected by two-child limit,16.0,10.0,650
E14001244,society,Population,98923.0,413.0,650
E14001244,society,Population: by age,1004.0,260.0,650
E14001244,society,Population: by group,60318.0,330.0,650
E14001244,society,Post offices,9.0,40.0,650
E14001244,society,Pubs,110.0,113.0,650
E14001244,transport,Bus stops,597.0,200.0,632
E14001244,transport,Bus stops per square km,14.41,130.0,632
E14001244,transport,Cars or vans by household,72.6,186.0,575
E14001244,transport,EV: combined charging availability,468.0,351.0,650
E14001244,transport,EV: home charging,248.0,375.0,650
E14001244,transport,EV: workplace charging points,61.0,147.0,650
E14001244,transport,Rail cancellations,7.4,7.0,632
E14001244,transport,Train stations,2.0,17.0,588
E14001244,transport,Train stations per square km,0.048,146.0,588
E14001244,transport,Tram and metro stops per square km,0.05,52.0,175
E14001245,economy,ATMs: total,56.0,105.0,649
E14001245,economy,Average download speeds,203.6,37.0,650
E14001245,economy,Below universal service obligation,0.0,26.0,650
E14001245,economy,Gigabit availability,93.2,42.0,650
E14001245,economy,House prices,234995.0,214.0,575
E14001245,economy,Receiving over 30 Mbps,92.6,7.0,650
E14001245,economy,Receiving under 10 Mbps,1.7,76.0,650
E14001245,economy,Superfast availability,99.5,5.0,650
E14001245,economy,Total income: median,27800.0,104.0,650
E14001245,economy,Total tax amount,232.0,266.0,650
E14001245,energy,Households off the gas grid,4.6,268.0,632
E14001245,environment,Ancient woodland,0.2665,390.0,543
E14001245,environment,Countryside and Rights of Way,0.0,344.0,543
E14001245,environment,Green belt: percentage,58.7,67.0,342
E14001245,environment,Green belt: total,3750.0,122.0,342
E14001245,society,Child poverty,29.5,141.0,650
E14001245,society,EU referendum using 2024 consituencies,0.5666729863,243.0,632
E14001245,society,Electorate,75795.0,128.0,649
E14001245,society,Fish and chip shops,0.0,45.0,650
E14001245,society,Foodbanks,1.0,7.0,650
E14001245,society,General Election (notional): 12 December 2019,,,0
E14001245,society,General Election: 4 July 2024,,,0
E14001245,society,Heritage at Risk: all,3.0,48.0,543
E14001245,society,Heritage at Risk: archaeology,1.0,35.0,543
E14001245,society,Heritage at Risk: building or structure,0.0,17.0,543
E14001245,society,Heritage at Risk: conservation area,1.0,9.0,543
E14001245,society,Heritage at Risk: place of worship,1.0,16.0,543
E14001245,society,MPs: Left vs Right,40.442,344.0,614
E14001245,society,Percentage of children affected by two-child limit,7.0,19.0,650
E14001245,society,Population,101477.0,343.0,650
E14001245,society,Population: by age,893.0,332.0,650
E14001245,society,Population: by group,59878.0,340.0,650
E14001245,society,Post offices,20.0,29.0,650
E14001245,society,Pubs,88.0,135.0,650
E14001245,transport,Bus stops,571.0,222.0,632
E14001245,transport,Bus stops per square km,8.92,211.0,632
E14001245,transport,Cars or vans by household,85.9,86.0,575
E14001245,transport,EV: combined charging availability,488.0,339.0,650
E14001245,transport,EV: home charging,372.0,287.0,650
E14001245,transport,EV: workplace charging points,28.0,180.0,650
E14001245,transport,Rail cancellations,3.8,42.0,632
E14001245,transport,Train stations,3.0,16.0,588
E14001245,transport,Train stations per square km,0.047,147.0,588
E14001245,transport,Tram and metro stops per square km,,,175
E14001246,economy,ATMs: total,69.0,92.0,649
E14001246,economy,Average download speeds,216.3,16.0,650
E14001246,economy,Below universal service obligation,0.0,26.0,650
E14001246,economy,Gigabit availability,95.5,22.0,650
E14001246,economy,House prices,310000.0,151.0,575
E14001246,economy,Receiving over 30 Mbps,91.4,18.0,650
E14001246,economy,Receiving under 10 Mbps,2.2,71.0,650
E14001246,economy,Superfast availability,99.1,9.0,650
E14001246,economy,Total income: median,28200.0,100.0,650
E14001246,economy,Total tax amount,285.0,220.0,650
E14001246,energy,Households off the gas grid,5.9,255.0,632
E14001246,environment,Ancient woodland,2.8497,123.0,543
E14001246,environment,Countryside and Rights of Way,0.0,344.0,543
E14001246,environment,Green belt: percentage,,,342
E14001246,environment,Green belt: total,,,342
E14001246,society,Child poverty,31.0,126.0,650
E14001246,society,EU referendum using 2024 consituencies,0.6368785769,85.0,632
E14001246,society,Electorate,73951.0,267.0,649
E14001246,society,Fish and chip shops,12.0,33.0,650
E14001246,society,Foodbanks,0.0,8.0,650
E14001246,society,General Election (notional): 12 December 2019,,,0
E14001246,society,General Election: 4 July 2024,,,0
E14001246,society,Heritage at Risk: all,5.0,46.0,543
E14001246,society,Heritage at Risk: archaeology,0.0,36.0,543
E14001246,society,Heritage at Risk: building or structure,2.0,15.0,543
E14001246,society,Heritage at Risk: conservation area,3.0,7.0,543
E14001246,society,Heritage at Risk: place of worship,0.0,17.0,543
E14001246,society,MPs: Left vs Right,38.501,428.0,614
E14001246,society,Percentage of children affected by two-child limit,11.0,15.0,650
E14001246,society,Population,103259.0,290.0,650
E14001246,society,Population: by age,1132.0,190.0,650
E14001246,society,Population: by group,61401.0,296.0,650
E14001246,society,Post offices,9.0,40.0,650
E14001246,society,Pubs,51.0,172.0,650
E14001246,transport,Bus stops,339.0,376.0,632
E14001246,transport,Bus stops per square km,11.15,178.0,632
E14001246,transport,Cars or vans by household,85.3,92.0,575
E14001246,transport,EV: combined charging availability,298.0,452.0,650
E14001246,transport,EV: home charging,157.0,435.0,650
E14001246,transport,EV: workplace charging points,25.0,183.0,650
E14001246,transport,Rail cancellations,3.7,43.0,632
E14001246,transport,Train stations,2.0,17.0,588
E14001246,transport,Train stations per square km,0.066,131.0,588
E14001246,transport,Tram and metro stops per square km,,,175
S14000084,economy,ATMs: total,145.0,21.0,649
S14000084,economy,Average download speeds,164.0,212.0,650
S14000084,economy,Below universal service obligation,0.0,26.0,650
S14000084,economy,Gigabit availability,81.3,137.0,650
S14000084,economy,Receiving over 30 Mbps,87.7,55.0,650
S14000084,economy,Receiving under 10 Mbps,2.8,65.0,650
S14000084,economy,Superfast availability,96.8,32.0,650
S14000084,economy,Total income: median,27100.0,111.0,650
S14000084,economy,Total tax amount,186.0,311.0,650
S14000084,energy,Households off the gas grid,18.5,144.0,632
S14000084,society,Child poverty,37.4,72.0,650
S14000084,society,EU referendum using 2024 consituencies,0.3814724052,554.0,632
S14000084,society,Fish and chip shops,12.0,33.0,650
S14000084,society,Foodbanks,3.0,5.0,650
S14000084,society,General Election (notional): 12 December 2019,,,0
S14000084,society,General Election: 4 July 2024,,,0
S14000084,society,MPs: Left vs Right,41.431,307.0,614
S14000084,society,Percentage of children affected by two-child limit,14.0,12.0,650
S14000084,society,Population,99687.0,387.0,650
S14000084,society,Population: by age,1044.0,237.0,650
S14000084,society,Population: by group,67883.0,166.0,650
S14000084,society,Post offices,11.0,38.0,650
S14000084,society,Pubs,157.0,68.0,650
S14000084,transport,Bus stops,425.0,333.0,632
S14000084,transport,Bus stops per square km,15.1,118.0,632
S14000084,transport,EV: combined charging availability,350.0,425.0,650
S14000084,transport,EV: home charging,179.0,418.0,650
S14000084,transport,EV: workplace charging points,85.0,123.0,650
S14000084,transport,Rail cancellations,2.7,53.0,632
S14000084,transport,Train stations,12.0,7.0,588
S14000084,transport,Train stations per square km,0.426,22.0,588
S14000084,transport,Tram and metro stops per square km,0.07,50.0,175
S14000085,economy,ATMs: total,203.0,6.0,649
S14000085,economy,Average download speeds,155.0,253.0,650
S14000085,economy,Below universal service obligation,0.0,26.0,650
S14000085,economy,Gigabit availability,85.7,110.0,650
S14000085,economy,Receiving over 30 Mbps,85.5,77.0,650
S14000085,economy,Receiving under 10 Mbps,4.1,52.0,650
S14000085,economy,Superfast availability,94.2,56.0,650
S14000085,economy,Total income: median,28900.0,93.0,650
S14000085,economy,Total tax amount,259.0,242.0,650
S14000085,energy,Households off the gas grid,27.2,89.0,632
S14000085,society,Child poverty,36.3,78.0,650
S14000085,society,EU referendum using 2024 consituencies,0.4329332171,500.0,632
S14000085,society,Electorate,73210.0,319.0,649
S14000085,society,Fish and chip shops,12.0,33.0,650
S14000085,society,Foodbanks,1.0,7.0,650
S14000085,society,General Election (notional): 12 December 2019,,,0
S14000085,society,General Election: 4 July 2024,,,0
S14000085,society,MPs: Left vs Right,39.182,400.0,614
S14000085,society,Percentage of children affected by two-child limit,13.0,13.0,650
S14000085,society,Population,109113.0,176.0,650
S14000085,society,Population: by age,901.0,325.0,650
S14000085,society,Population: by group,82010.0,46.0,650
S14000085,society,Post offices,16.0,33.0,650
S14000085,society,Pubs,191.0,41.0,650
S14000085,transport,Bus stops,449.0,316.0,632
S14000085,transport,Bus stops per square km,16.15,91.0,632
S14000085,transport,EV: combined charging availability,417.0,384.0,650
S14000085,transport,EV: home charging,177.0,420.0,650
S14000085,transport,EV: workplace charging points,84.0,124.0,650
S14000085,transport,Rail cancellations,2.3,57.0,632
S14000085,transport,Train stations,14.0,5.0,588
S14000085,transport,Train stations per square km,0.504,16.0,588
S14000085,transport,Tram and metro stops per square km,0.18,40.0,175
S14000086,economy,ATMs: total,96.0,65.0,649
S14000086,economy,Average download speeds,155.8,249.0,650
S14000086,economy,Below universal service obligation,0.0,26.0,650
S14000086,economy,Gigabit availability,94.4,31.0,650
S14000086,economy,Receiving over 30 Mbps,90.6,26.0,650
S14000086,economy,Receiving under 10 Mbps,2.6,67.0,650
S14000086,economy,Superfast availability,99.1,9.0,650
S14000086,economy,Total income: median,26400.0,118.0,650
S14000086,economy,Total tax amount,146.0,347.0,650
S14000086,energy,Households off the gas grid,15.2,169.0,632
S14000086,society,Child poverty,36.5,77.0,650
S14000086,society,EU referendum using 2024 consituencies,0.3933825871,544.0,632
S14000086,society,Electorate,75236.0,178.0,649
S14000086,society,Fish and chip shops,4.0,41.0,650
S14000086,society,Foodbanks,0.0,8.0,650
S14000086,society,General Election (notional): 12 December 2019,,,0
S14000086,society,General Election: 4 July 2024,,,0
S14000086,society,MPs: Left vs Right,41.134,313.0,614
S14000086,society,Percentage of children affected by two-child limit,13.0,13.0,650
S14000086,society,Population,107141.0,205.0,650
S14000086,society,Population: by age,954.0,292.0,650
S14000086,society,Population: by group,72825.0,110.0,650
S14000086,society,Post offices,13.0,36.0,650
S14000086,society,Pubs,43.0,180.0,650
S14000086,transport,Bus stops,617.0,185.0,632
S14000086,transport,Bus stops per square km,15.58,107.0,632
S14000086,transport,EV: combined charging availability,507.0,330.0,650
S14000086,transport,EV: home charging,253.0,370.0,650
S14000086,transport,EV: workplace charging points,120.0,91.0,650
S14000086,transport,Rail cancellations,1.4,66.0,632
S14000086,transport,Train stations,6.0,13.0,588
S14000086,transport,Train stations per square km,0.152,72.0,588
S14000086,transport,Tram and metro stops per square km,,,175
S14000087,economy,ATMs: total,85.0,76.0,649
S14000087,economy,Average download speeds,155.2,252.0,650
S14000087,economy,Below universal service obligation,0.0,26.0,650
S14000087,economy,Gigabit availability,88.8,82.0,650
S14000087,economy,Receiving over 30 Mbps,88.4,48.0,650
S14000087,economy,Receiving under 10 Mbps,2.4,69.0,650
S14000087,economy,Superfast availability,99.4,6.0,650
S14000087,economy,Total income: median,30500.0,77.0,650
S14000087,economy,Total tax amount,251.0,248.0,650
S14000087,energy,Households off the gas grid,7.9,235.0,632
S14000087,society,Child poverty,34.3,96.0,650
S14000087,society,EU referendum using 2024 consituencies,0.239718109,619.0,632
S14000087,society,Electorate,71344.0,462.0,649
S14000087,society,Fish and chip shops,3.0,42.0,650
S14000087,society,Foodbanks,2.0,6.0,650
S14000087,society,General Election (notional): 12 December 2019,,,0
S14000087,society,General Election: 4 July 2024,,,0
S14000087,society,MPs: Left vs Right,39.613,385.0,614
S14000087,society,Percentage of children affected by two-child limit,11.0,15.0,650
S14000087,society,Population,91460.0,614.0,650
S14000087,society,Population: by age,980.0,273.0,650
S14000087,society,Population: by group,61527.0,291.0,650
S14000087,society,Post offices,11.0,38.0,650
S14000087,society,Pubs,47.0,176.0,650
S14000087,transport,Bus stops,416.0,338.0,632
S14000087,transport,Bus stops per square km,15.56,108.0,632
S14000087,transport,EV: combined charging availability,281.0,462.0,650
S14000087,transport,EV: home charging,170.0,427.0,650
S14000087,transport,EV: workplace charging points,80.0,128.0,650
S14000087,transport,Rail cancellations,1.6,64.0,632
S14000087,transport,Train stations,11.0,8.0,588
S14000087,transport,Train stations per square km,0.411,23.0,588
S14000087,transport,Tram and metro stops per square km,,,175
S14000088,economy,ATMs: total,96.0,65.0,649
S14000088,economy,Average download speeds,146.4,292.0,650
S14000088,economy,Below universal service obligation,0.0,26.0,650
S14000088,economy,Gigabit availability,91.9,54.0,650
S14000088,economy,Receiving over 30 Mbps,89.9,33.0,650
S14000088,economy,Receiving under 10 Mbps,2.6,67.0,650
S14000088,economy,Superfast availability,99.4,6.0,650
S14000088,economy,Total income: median,25100.0,131.0,650
S14000088,economy,Total tax amount,196.0,301.0,650
S14000088,energy,Households off the gas grid,12.0,197.0,632
S14000088,society,Child poverty,37.6,70.0,650
S14000088,society,EU referendum using 2024 consituencies,0.3210840348,591.0,632
S14000088,society,Electorate,70431.0,544.0,649
S14000088,society,Fish and chip shops,3.0,42.0,650
S14000088,society,Foodbanks,5.0,3.0,650
S14000088,society,General Election (notional): 12 December 2019,,,0
S14000088,society,General Election: 4 July 2024,,,0
S14000088,society,MPs: Left vs Right,46.415,167.0,614
S14000088,society,Percentage of children affected by two-child limit,14.0,12.0,650
S14000088,society,Population,96239.0,481.0,650
S14000088,society,Population: by age,975.0,276.0,650
S14000088,society,Population: by group,63537.0,243.0,650
S14000088,society,Post offices,13.0,36.0,650
S14000088,society,Pubs,27.0,195.0,650
S14000088,transport,Bus stops,465.0,305.0,632
S14000088,transport,Bus stops per square km,15.83,103.0,632
S14000088,transport,EV: combined charging availability,489.0,338.0,650
S14000088,transport,EV: home charging,187.0,412.0,650
S14000088,transport,EV: workplace charging points,88.0,120.0,650
S14000088,transport,Rail cancellations,1.6,64.0,632
S14000088,transport,Train stations,9.0,10.0,588
S14000088,transport,Train stations per square km,0.306,33.0,588
S14000088,transport,Tram and metro stops per square km,0.2,39.0,175
S14000089,economy,ATMs: total,98.0,63.0,649
S14000089,economy,Average download speeds,148.9,279.0,650
S14000089,economy,Below universal service obligation,0.0,26.0,650
S14000089,economy,Gigabit availability,92.8,46.0,650
S14000089,economy,Receiving over 30 Mbps,90.8,24.0,650
S14000089,economy,Receiving under 10 Mbps,2.7,66.0,650
S14000089,economy,Superfast availability,99.7,3.0,650
S14000089,economy,Total income: median,29100.0,91.0,650
S14000089,economy,Total tax amount,282.0,223.0,650
S14000089,energy,Households off the gas grid,19.4,138.0,632
S14000089,society,Child poverty,33.6,102.0,650
S14000089,society,EU referendum using 2024 consituencies,0.2464393541,615.0,632
S14000089,society,Electorate,72499.0,362.0,649
S14000089,society,Fish and chip shops,11.0,34.0,650
S14000089,society,Foodbanks,3.0,5.0,650
S14000089,society,General Election (notional): 12 December 2019,,,0
S14000089,society,General Election: 4 July 2024,,,0
S14000089,society,MPs: Left vs Right,39.403,393.0,614
S14000089,society,Percentage of children affected by two-child limit,11.0,15.0,650
S14000089,society,Population,99078.0,408.0,650
S14000089,society,Population: by age,907.0,319.0,650
S14000089,society,Population: by group,67947.0,163.0,650
S14000089,society,Post offices,14.0,35.0,650
S14000089,society,Pubs,52.0,171.0,650
S14000089,transport,Bus stops,426.0,332.0,632
S14000089,transport,Bus stops per square km,22.85,15.0,632
S14000089,transport,EV: combined charging availability,222.0,483.0,650
S14000089,transport,EV: home charging,119.0,449.0,650
S14000089,transport,EV: workplace charging points,56.0,152.0,650
S14000089,transport,Rail cancellations,3.2,48.0,632
S14000089,transport,Train stations,6.0,13.0,588
S14000089,transport,Train stations per square km,0.322,29.0,588
S14000089,transport,Tram and metro stops per square km,0.11,47.0,175
E14001247,economy,ATMs: total,44.0,117.0,649
E14001247,economy,Average download speeds,88.4,465.0,650
E14001247,economy,Below universal service obligation,0.3,23.0,650
E14001247,economy,Gigabit availability,58.8,260.0,650
E14001247,economy,House prices,320000.0,141.0,575
E14001247,economy,Receiving over 30 Mbps,77.7,148.0,650
E14001247,economy,Receiving under 10 Mbps,5.6,37.0,650
E14001247,economy,Superfast availability,94.1,57.0,650
